,id,name,age,nationality,overall,potential,club,value,wage,preferred_foot,international_reputation,skill_moves,position,joined,contract_valid_until,height,weight,release_clause
115,20775,Quaresma,34,Portugal,84,84,Beşiktaş JK,15500,80,Right,3,5,RM,2015,2020-01-01,175.26,67.192,29500
116,9014,A. Robben,34,Netherlands,84,84,FC Bayern München,15500,110,Left,4,4,RM,2009,2019-01-01,180.34,79.904,25600
117,231443,O. Dembélé,21,France,83,92,FC Barcelona,40000,155,Left,3,4,RW,2017,2022-01-01,177.8,67.192,90000
118,230666,Gabriel Jesus,21,Brazil,83,92,Manchester City,41000,130,Right,2,4,ST,2016,2023-01-01,175.26,73.094,84100
119,230481,Ronaldo Cabrais,26,Brazil,83,83,Grêmio,28000,51,Right,1,4,RW,2018,2021-01-01,177.8,74.91,50400
120,230375,Josué Chiamulera,26,Brazil,83,83,Grêmio,22500,43,Right,1,2,LCB,2018,2021-01-01,185.42,79.904,40500
121,230294,Louri Beretta,26,Brazil,83,83,Atlético Mineiro,28500,60,Right,1,4,ST,2018,2021-01-01,187.96,83.082,54200
122,225850,P. Kimpembe,22,France,83,89,Paris Saint-Germain,30500,82,Left,2,3,LCB,2015,2023-01-01,187.96,79.904,62500
123,219683,C. Tolisso,23,France,83,88,FC Bayern München,34000,85,Right,2,3,CM,2017,2022-01-01,180.34,81.266,58700
124,213565,T. Lemar,22,France,83,89,Atlético Madrid,35500,64,Left,3,4,LM,2018,2023-01-01,170.18,62.198,79900
125,213345,K. Coman,22,France,83,87,FC Bayern München,34000,85,Right,2,5,LM,2015,2023-01-01,177.8,71.278,58700
126,213331,J. Tah,22,Germany,83,88,Bayer 04 Leverkusen,29500,67,Right,2,2,CB,2015,2023-01-01,195.58,97.156,52400
127,212523,Anderson Talisca,24,Brazil,83,90,Guangzhou Evergrande Taobao FC,36500,18,Left,2,4,CAM,2016,2018-12-31,190.5,79.904,4585.060806
128,212188,T. Werner,22,Germany,83,87,RB Leipzig,34500,70,Right,3,3,RW,2016,2020-01-01,180.34,74.91,61200
129,210008,A. Rabiot,23,France,83,87,Paris Saint-Germain,33000,91,Left,2,3,CM,2012,2019-01-01,193.04,79.904,63500
130,209658,L. Goretzka,23,Germany,83,88,FC Bayern München,34000,85,Right,3,3,CM,2018,2022-01-01,187.96,78.996,58700
131,208808,Q. Promes,26,Netherlands,83,84,Sevilla FC,30500,28,Right,2,5,RM,2018,2023-01-01,175.26,72.186,66300
132,208618,Lucas Vázquez,27,Spain,83,83,Real Madrid,27000,205,Right,2,4,RW,2015,2021-01-01,172.72,69.916,55400
133,208093,Gerard Moreno,26,Spain,83,85,Villarreal CF,32000,53,Left,1,4,LS,2018,2023-01-01,180.34,77.18,69600
134,207863,Felipe,29,Brazil,83,83,FC Porto,20000,22,Right,3,2,RCB,2016,2021-01-01,190.5,86.26,40000
135,206585,Kepa,23,Spain,83,91,Chelsea,28500,84,Right,1,1,GK,2018,2025-01-01,185.42,84.898,58400
136,206545,Manu Trigueros,26,Spain,83,84,Villarreal CF,30000,49,Right,2,4,RCM,2011,2022-01-01,177.8,74.91,65300
137,206113,S. Gnabry,22,Germany,83,88,FC Bayern München,34500,85,Right,2,4,ST,2017,2020-01-01,175.26,74.91,59500
138,204935,J. Pickford,24,England,83,88,Everton,25000,78,Left,1,1,GK,2017,2024-01-01,185.42,77.18,49400
139,203574,J. Stones,24,England,83,87,Manchester City,28500,125,Right,2,3,RCB,2016,2022-01-01,187.96,69.916,54900
140,202651,Suso,24,Spain,83,86,Milan,33000,115,Left,3,4,RW,2015,2022-01-01,175.26,69.916,58600
141,202166,J. Draxler,24,Germany,83,86,Paris Saint-Germain,32500,91,Right,3,4,CM,2017,2021-01-01,187.96,77.18,62600
142,201995,Felipe Anderson,25,Brazil,83,85,West Ham United,31500,110,Right,3,4,LM,2018,2022-01-01,175.26,69.916,62200
143,200949,Lucas Moura,25,Brazil,83,84,Tottenham Hotspur,31000,115,Right,3,4,RM,2018,2023-01-01,175.26,69.916,59700
144,200888,Danilo Pereira,26,Portugal,83,86,FC Porto,27000,21,Right,3,3,CDM,2015,2022-01-01,187.96,83.082,56000
145,200724,Nacho Fernández,28,Spain,83,85,Real Madrid,24500,180,Right,2,2,CB,2010,2021-01-01,180.34,76.272,52100
146,200316,T. Horn,25,Germany,83,87,1. FC Köln,24000,25,Left,2,1,GK,2011,2023-01-01,193.04,89.892,37800
147,199914,Allan,27,Brazil,83,83,Napoli,26500,87,Right,2,4,RCM,2015,2023-01-01,175.26,74.002,45100
148,199845,F. Acerbi,30,Italy,83,83,Lazio,19000,64,Left,2,3,CB,2018,2023-01-01,193.04,88.076,32300
149,199564,Sergi Roberto,26,Spain,83,86,FC Barcelona,26500,170,Right,3,4,RB,2013,2022-01-01,177.8,68.1,56300
150,198329,Rodrigo,27,Spain,83,84,Valencia CF,30500,57,Left,2,4,ST,2014,2022-01-01,182.88,77.18,66300
151,197965,Pizzi,28,Portugal,83,83,SL Benfica,25500,22,Right,3,3,LCM,2013,2022-01-01,177.8,72.186,51000
152,194404,Neto,28,Brazil,83,84,Valencia CF,21000,41,Right,2,1,GK,2017,2021-01-01,190.5,83.99,45700
153,193698,O. Baumann,28,Germany,83,84,TSG 1899 Hoffenheim,21000,42,Right,2,1,GK,2014,2021-01-01,187.96,82.174,37300
154,192638,Marcos Alonso,27,Spain,83,84,Chelsea,24000,130,Left,2,3,LB,2016,2023-01-01,187.96,87.168,46200
155,190547,K. Glik,30,Poland,83,83,AS Monaco,19000,86,Right,3,2,RCB,2016,2021-01-01,190.5,79.904,36100
156,189712,K. Strootman,28,Netherlands,83,83,Olympique de Marseille,21000,66,Left,3,3,CDM,2018,2023-01-01,185.42,79.904,39900
157,189068,B. Dost,29,Netherlands,83,83,Sporting CP,26000,26,Right,3,2,ST,2016,2021-01-01,195.58,88.984,52000
158,188152,Oscar,26,Brazil,83,84,Shanghai SIPG FC,30500,29,Right,3,4,LCM,2017,2020-01-01,177.8,66.284,69400
159,186627,M. Balotelli,27,Italy,83,83,OGC Nice,27500,55,Right,4,4,LS,2016,2019-01-01,187.96,88.076,52300
160,185221,Luiz Gustavo,30,Brazil,83,83,Olympique de Marseille,19000,63,Left,3,3,LCB,2017,2021-01-01,187.96,78.088,36100
161,184942,Giuliano,28,Brazil,83,83,Al Nassr,26000,64,Right,2,4,CAM,2018,2021-01-01,172.72,68.1,44200
162,179944,David Luiz,31,Brazil,83,83,Chelsea,17500,130,Right,4,3,LCB,2016,2019-01-01,187.96,86.26,32400
163,179783,R. Fährmann,29,Germany,83,84,FC Schalke 04,20000,38,Right,2,1,GK,2011,2022-01-01,198.12,98.064,35500
164,178088,Juan Mata,30,Spain,83,83,Manchester United,24500,160,Left,3,4,RM,2014,2019-01-01,170.18,63.106,45300
165,178086,Adán,31,Spain,83,83,Atlético Madrid,15500,55,Left,2,1,GK,2018,2020-01-01,190.5,92.162,31800
166,178005,Rui Patrício,30,Portugal,83,83,Wolverhampton Wanderers,16500,74,Left,3,1,GK,2018,2022-01-01,190.5,83.99,31400
167,177610,Javi Martínez,29,Spain,83,83,FC Bayern München,20000,94,Right,3,2,CDM,2012,2021-01-01,193.04,86.26,33000
168,177457,L. Bender,29,Germany,83,83,Bayer 04 Leverkusen,20000,82,Right,3,2,RB,2009,2021-01-01,185.42,81.266,34000
169,176266,Lucas Leiva,31,Brazil,83,83,Lazio,17500,64,Right,3,3,LDM,2017,2020-01-01,177.8,78.088,29800
170,163705,S. Mandanda,33,France,83,83,Olympique de Marseille,13000,51,Right,3,1,GK,2017,2020-01-01,185.42,82.174,24700
171,162895,Cesc Fàbregas,31,Spain,83,83,Chelsea,22000,140,Right,4,3,CM,2014,2019-01-01,177.8,77.18,40700
172,156616,F. Ribéry,35,France,83,83,FC Bayern München,11500,72,Right,4,5,LM,2007,2019-01-01,170.18,72.186,19000
173,104389,R. Jarstein,33,Norway,83,83,Hertha BSC,13000,33,Right,2,1,GK,2014,2021-01-01,190.5,82.174,22100
174,53302,D. De Rossi,34,Italy,83,83,Roma,8000,80,Right,3,2,RDM,2002,2019-01-01,182.88,83.082,13600
175,24630,Pepe Reina,35,Spain,83,83,Milan,6000,56,Right,3,1,GK,2018,2021-01-01,187.96,92.162,10200
176,235243,M. de Ligt,18,Netherlands,82,91,Ajax,27000,11,Right,2,2,RCB,2016,2021-01-01,187.96,88.984,43200
177,231866,Rodri,22,Spain,82,87,Atlético Madrid,29000,59,Right,1,4,CM,2018,2023-01-01,190.5,82.174,61600
178,230658,Arthur,21,Brazil,82,90,FC Barcelona,32500,125,Right,1,4,LCM,2018,2024-01-01,170.18,73.094,73100
179,230621,G. Donnarumma,19,Italy,82,93,Milan,29000,23,Right,3,1,GK,2015,2021-01-01,195.58,89.892,55100
180,230258,Rosberto Dourado,30,Brazil,82,82,Atlético Mineiro,16500,46,Right,1,2,RCM,2018,2018-01-01,175.26,69.916,31400
181,230225,Juiano Mestres,34,Brazil,82,82,Cruzeiro,6500,39,Right,1,2,RCB,2018,2021-01-01,180.34,82.174,12400
182,230168,Raphaelito Anjos,30,Brazil,82,82,Grêmio,14000,32,Right,1,1,GK,2018,2021-01-01,190.5,84.898,25200
183,227055,Gelson Martins,23,Portugal,82,87,Atlético Madrid,29500,59,Right,3,5,RM,2018,2023-01-01,172.72,72.186,62700
184,224411,Gonçalo Guedes,21,Portugal,82,86,Valencia CF,29000,36,Right,1,4,LM,2018,2024-01-01,177.8,68.1,63100
185,222737,Malcom,21,Brazil,82,89,FC Barcelona,31500,140,Left,2,4,RW,2018,2023-01-01,172.72,74.002,70900
186,221087,Pau López,23,Spain,82,87,Real Betis,21500,21,Left,1,1,GK,2018,2023-01-01,187.96,77.18,46800
187,220814,L. Hernández,22,France,82,88,Atlético Madrid,25500,53,Left,1,3,LB,2015,2024-01-01,182.88,76.272,57400
188,220440,C. Lenglet,23,France,82,88,FC Barcelona,26000,135,Left,1,2,LCB,2018,2023-01-01,185.42,81.266,58500
189,216267,A. Robertson,24,Scotland,82,87,Liverpool,24500,98,Left,1,3,LB,2017,2021-01-01,177.8,64.014,48400
190,216194,Dani García,28,Spain,82,83,Athletic Club de Bilbao,20000,33,Right,2,3,RCM,2018,2022-01-01,180.34,79.904,43500
191,212404,F. Bernardeschi,24,Italy,82,87,Juventus,29500,110,Left,2,5,RM,2017,2022-01-01,185.42,77.18,50900
192,212194,J. Brandt,22,Germany,82,88,Bayer 04 Leverkusen,30500,68,Right,2,4,LM,2014,2021-01-01,185.42,83.99,58000
193,211320,D. Rugani,23,Italy,82,86,Juventus,24500,95,Right,2,2,CB,2015,2021-01-01,190.5,83.99,42300
194,210617,Samu Castillejo,23,Spain,82,86,Milan,29000,94,Left,2,4,RM,2018,2023-01-01,182.88,67.192,51500
195,210514,João Cancelo,24,Portugal,82,88,Juventus,25500,95,Right,2,4,RB,2018,2023-01-01,182.88,74.002,47200
196,210413,A. Romagnoli,23,Italy,82,89,Milan,26500,84,Left,2,2,LCB,2015,2022-01-01,187.96,78.088,50400
197,209297,Fred,25,Brazil,82,84,Manchester United,26500,140,Left,1,4,CM,2018,2023-01-01,170.18,64.014,51000
198,208830,J. Vardy,31,England,82,82,Leicester City,20000,96,Right,3,3,ST,2012,2022-01-01,177.8,74.002,38000
199,208596,A. Belotti,24,Italy,82,87,Torino,30000,58,Right,3,3,LS,2015,2021-01-01,180.34,72.186,53300
200,208448,E. Forsberg,26,Sweden,82,83,RB Leipzig,26000,67,Right,2,4,LM,2015,2022-01-01,177.8,74.002,46200
201,207494,J. Lingard,25,England,82,83,Manchester United,26500,140,Right,2,4,CAM,2010,2021-01-01,175.26,62.198,51000
202,207471,F. Vázquez,29,Argentina,82,82,Sevilla FC,21500,27,Left,2,4,LCM,2016,2021-01-01,185.42,82.174,45200
203,205452,A. Rüdiger,25,Germany,82,84,Chelsea,22500,110,Right,2,2,CB,2017,2022-01-01,190.5,84.898,43300
204,203551,A. Florenzi,27,Italy,82,83,Roma,20500,73,Right,3,4,RB,2010,2023-01-01,172.72,67.192,36400
205,203263,H. Maguire,25,England,82,85,Leicester City,23500,77,Right,1,2,LCB,2017,2023-01-01,193.04,99.88,46400
206,201400,Rafinha,25,Brazil,82,87,FC Barcelona,29500,165,Left,2,4,CAM,2013,2020-01-01,175.26,71.278,62700
207,201305,Gabriel Paulista,27,Brazil,82,83,Valencia CF,21000,44,Right,2,2,LCB,2017,2022-01-01,187.96,78.996,45700
208,201153,Morata,25,Spain,82,85,Chelsea,28500,135,Right,3,3,ST,2017,2022-01-01,187.96,84.898,54900
